date,aaci,aaci.ma,region
1950-01,-1.92348484848485,-1.92348484848485,North
1950-02,-0.764393939393939,-1.15075757575758,North
1950-03,1.30378787878788,0.0765151515151522,North
1950-04,0.928787878787879,0.417424242424242,North
1950-05,-3.49621212121212,-0.887121212121213,North
1950-06,0.311363636363638,-0.544696969696969,North
1950-07,2.25183982683983,0.15443722943723,North
1950-08,-3.92916666666667,-0.753030303030304,North
1950-09,-2.51439393939394,-1.10530303030303,North
1950-10,-1.80530303030303,-1.23257575757576,North
1950-11,0.671556473829201,-0.915220385674931,North
1950-12,-0.476515151515152,-0.847727272727273,North
1951-01,-1.6717365967366,-0.965442890442891,North
1951-02,-1.08906926406926,-0.981926406926407,North
1951-03,0.309848484848485,-0.820454545454546,North
1951-04,-0.247348484848485,-0.753030303030304,North
1951-05,0.552450980392156,-0.607976827094474,North
1951-06,-2.35782828282828,-0.792171717171717,North
1951-07,0.191347687400319,-0.693819776714513,North
1951-08,0.999242424242424,-0.532575757575758,North
1951-09,-0.308766233766234,-0.512229437229437,North
1951-10,1.69634986225895,-0.320179063360881,North
1951-11,0.977700922266138,-0.212022397891962,North
1951-12,1.16931818181818,-0.101515151515151,North
1952-01,1.59833333333333,0.0292424242424247,North
1952-02,-0.323834498834499,0.00308857808857857,North
1952-03,-0.0531144781144795,-0.000925925925925687,North
1952-04,-0.761147186147186,-0.0533549783549784,North
1952-05,0.0608411703239291,-0.0457419017763842,North
1952-06,1.56742424242424,0.0583333333333339,North
1952-07,0.302321603128054,0.0735826001955033,North
1952-08,-0.768655303030303,0.0225378787878794,North
1952-09,-0.13698347107438,0.0131542699724516,North
1952-10,-0.609313725490196,-0.0224153297682708,North
1952-11,-1.00010822510823,-0.0767316017316017,North
1952-12,0.796212121212121,-0.0295454545454541,North
1953-01,-0.862059787059787,-0.073361998361998,North
1953-02,-2.0024322169059,-0.172288676236045,North
1953-03,1.58700466200466,-0.0843240093240091,North
1953-04,-0.607575757575758,-0.109848484848484,North
1953-05,-0.340336289726533,-0.120824094604582,North
1953-06,-0.34556277056277,-0.131277056277056,North
1953-07,-1.42031360112755,-0.189869626497533,North
1953-08,2.13126721763085,-0.0867079889807164,North
1953-09,-0.793181818181818,-0.117424242424242,North
1953-10,-0.297002635046114,-0.125065876152833,North
1953-11,1.6026273372018,-0.0530786589297224,North
1953-12,0.709090909090911,-0.0219696969696968,North
1954-01,-0.99213048855906,-0.0607761286332715,North
1954-02,1.40015151515152,-0.00348484848484808,North
1954-03,0.315374331550802,0.00877896613190755,North
1954-04,-0.0493589743589745,0.00658508158508132,North
1954-05,-0.143038879359635,0.00104345340194377,North
1954-06,2.53947811447811,0.0933501683501684,North
1954-07,1.70461432506887,0.150895316804408,North
1954-08,-0.210822510822511,0.138203463203464,North
1954-09,-3.36208133971292,0.0175039872408297,North
1954-10,-0.414864158829675,0.00284743991640564,North
1954-11,-2.17849255264509,-0.0698638931689778,North
1954-12,-1.84393939393939,-0.128030303030303,North
1955-01,-0.656060606060606,-0.115909090909091,North
1955-02,-1.40227272727273,-0.153787878787878,North
1955-03,0.587878787878789,-0.173484848484848,North
1955-04,-2.09318181818182,-0.262878787878788,North
1955-05,1.6219696969697,-0.105303030303031,North
1955-06,-1.8719696969697,-0.184090909090909,North
1955-07,-1.98409090909091,-0.317424242424242,North
1955-08,0.540151515151515,-0.178030303030303,North
1955-09,-2.975,-0.208333333333333,North
1955-10,0.18560606060606,-0.159848484848485,North
1955-11,0.402272727272727,-0.181060606060606,North
1955-12,-0.697727272727273,-0.199242424242424,North
1956-01,1.53030303030303,-0.106818181818182,North
1956-02,-1.20606060606061,-0.125,North
1956-03,3.29166666666667,-0.038636363636364,North
1956-04,2.18939393939394,0.0295454545454542,North
1956-05,1.51818181818182,0.0507575757575761,North
1956-06,4.85681818181818,0.273484848484849,North
1956-07,1.27575757575758,0.293181818181818,North
1956-08,1.18106060606061,0.285606060606061,North
1956-09,-1.43484848484849,0.235606060606061,North
1956-10,1.65075757575757,0.224999999999999,North
1956-11,1.75075757575758,0.243181818181818,North
1956-12,-0.183333333333334,0.193181818181818,North
1957-01,0.617424242424243,0.158333333333333,North
1957-02,-0.846969696969697,0.138636363636364,North
1957-03,-0.445454545454545,0.123484848484849,North
1957-04,0.297727272727273,0.155303030303031,North
1957-05,2.24090909090909,0.223484848484849,North
1957-06,4.97727272727272,0.332575757575758,North
1957-07,-1.74015151515152,0.261363636363637,North
1957-08,-0.510606060606062,0.265909090909091,North
1957-09,-0.75,0.241666666666667,North
1957-10,1.325,0.300757575757575,North
1957-11,2.28484848484848,0.402272727272727,North
1957-12,2.39848484848485,0.447727272727272,North
1958-01,0.276515151515152,0.476515151515152,North
1958-02,0.401515151515152,0.54469696969697,North
1958-03,-1.93409090909091,0.418939393939394,North
1958-04,-1.31363636363637,0.387121212121212,North
1958-05,0.699242424242424,0.412878787878788,North
1958-06,2.88409090909091,0.509848484848485,North
1958-07,-0.192424242424243,0.538636363636364,North
1958-08,0.456818181818182,0.473484848484849,North
1958-09,-0.0818181818181823,0.487121212121212,North
1958-10,1.67272727272727,0.541666666666667,North
1958-11,-1.70454545454545,0.423484848484849,North
1958-12,-2.25681818181818,0.318939393939394,North
1959-01,0.907575757575757,0.375,North
1959-02,-0.0742424242424243,0.320454545454546,North
1959-03,-1.79318181818182,0.246212121212122,North
1959-04,-1.87045454545455,0.182575757575758,North
1959-05,-2.22424242424243,0.111363636363637,North
1959-06,-0.87121212121212,-0.000757575757575551,North
1959-07,0.196212121212121,-0.0477272727272726,North
